table,column,rows,missing_count,missing_percent,missing_type,severity,note
workout_history_sessions,user_id,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,plan_id,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,week_number,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,day_number,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,planned_day_name,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,planned_session_name,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,scheduled_date,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,completion_status,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,planned_item_count,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,completed_item_count,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,completion_pct,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,planned_working_sets,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,completed_working_sets,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,set_completion_pct,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,session_duration_target_min,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,actual_duration_min,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,session_rpe,18380,1084,5.898,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_sessions,energy_before,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,fatigue_after,18380,1084,5.898,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_sessions,sleep_hours_snapshot,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,body_weight_kg_snapshot,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,pain_reported,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,pain_areas,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,readiness_score,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,recovery_flag,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,record_source,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,is_synthetic,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,notes,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,created_at,18380,0,0.0,No Missing,PASS,No missing values.
workout_history_items,history_item_id,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,history_session_id,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,user_id,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,plan_id,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,plan_item_id,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,exercise_id,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,exercise_name_snapshot,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,exercise_order,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,planned_sets,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,planned_rep_min,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,planned_rep_max,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,planned_target_rpe,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,planned_rest_seconds,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,actual_sets_completed,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,actual_reps_json,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,actual_load_kg,80634,80634,100.0,Expected Missing,PASS,Missing is expected for this context.
workout_history_items,actual_rpe,80634,4737,5.875,Expected Missing,PASS,Missing is expected for this context.
workout_history_items,completion_status,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,pain_during_exercise,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,pain_areas,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,technique_quality,80634,4737,5.875,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_items,difficulty_rating,80634,4737,5.875,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_items,exercise_enjoyment,80634,4737,5.875,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_items,feedback_signal,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,record_source,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,is_synthetic,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,notes,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_items,created_at,80634,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,summary_id,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,user_id,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,plan_id,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,representative_week,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,representative_day,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,session_status,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,session_completion_pct,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,set_completion_pct,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,session_rpe,1000,58,5.8,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_summary,fatigue_after,1000,58,5.8,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_summary,pain_reported,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,avg_difficulty,1000,58,5.8,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_summary,avg_enjoyment,1000,58,5.8,Acceptable Missing,PASS,Low/acceptable missing rate.
workout_history_summary,positive_items,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,neutral_items,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,negative_items,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,recovery_flag,1000,0,0.0,No Missing,PASS,No missing values.
workout_history_summary,progression_recommendation,1000,0,0.0,No Missing,PASS,No missing values.
user_feedback,feedback_id,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,user_id,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,plan_id,14500,400,2.759,Expected Missing,PASS,Optional feedback scope columns may be blank for General/Plan/Session feedback.
user_feedback,history_session_id,14500,1400,9.655,Expected Missing,PASS,Optional feedback scope columns may be blank for General/Plan/Session feedback.
user_feedback,history_item_id,14500,5500,37.931,Expected Missing,PASS,Optional feedback scope columns may be blank for General/Plan/Session feedback.
user_feedback,plan_item_id,14500,5500,37.931,Expected Missing,PASS,Optional feedback scope columns may be blank for General/Plan/Session feedback.
user_feedback,exercise_id,14500,5500,37.931,Expected Missing,PASS,Optional feedback scope columns may be blank for General/Plan/Session feedback.
user_feedback,feedback_scope,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,feedback_type,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,rating,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,sentiment,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,difficulty_feedback,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,enjoyment_rating,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,fatigue_feedback,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,pain_feedback,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,pain_areas,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,duration_feedback,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,exercise_preference,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,progression_preference,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,requested_action,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,feedback_text,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,feedback_reason_tags,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,source_context,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,feedback_status,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,record_source,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,is_synthetic,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,created_at,14500,0,0.0,No Missing,PASS,No missing values.
user_feedback,updated_at,14500,0,0.0,No Missing,PASS,No missing values.
